# arm0_j0_set_velocity arm0_j1_set_velocity arm0_j2_set_velocity arm1_j0_set_velocity arm1_j1_set_velocity arm1_j2_set_velocity read_position_0 read_position_1 read_position_2 read_position_3 read_position_4 read_position_5 read_velocity_0 read_velocity_1 read_velocity_2 read_velocity_3 read_velocity_4 read_velocity_5 position_error_0 position_error_1 position_error_2 position_error_3 position_error_4 position_error_5 kp_velocity_0 kp_velocity_1 kp_velocity_2 kp_velocity_3 kp_velocity_4 kp_velocity_5 max_velocity_bound_0 max_velocity_bound_1 max_velocity_bound_2 max_velocity_bound_3 max_velocity_bound_4 max_velocity_bound_5 max_acceleration_bound_0 max_acceleration_bound_1 max_acceleration_bound_2 max_acceleration_bound_3 max_acceleration_bound_4 max_acceleration_bound_5 JointPosCmd_0 JointPosCmd_1 JointPosCmd_2 JointPosCmd_3 JointPosCmd_4 JointPosCmd_5 status t1 t2 receiver_communication_time receiver_running_time
0.1000 0.2000 0.3000 0.4000 0.5000 0.6000 0.0100 0.0200 0.0300 0.0400 0.0500 0.0600 0.0200 0.0400 0.0600 0.0800 0.1000 0.1200 0.0300 0.0600 0.0900 0.1200 0.1500 0.1800 0.0400 0.0800 0.1200 0.1600 0.2000 0.2400 0.0500 0.1000 0.1500 0.2000 0.2500 0.3000 0.0600 0.1200 0.1800 0.2400 0.3000 0.3600 0.0000 0.8415 0.9093 0.1411 -0.7568 -0.9589 0 0.000 0.000 100 1000
0.1100 0.2100 0.3100 0.4100 0.5100 0.6100 0.0110 0.0210 0.0310 0.0410 0.0510 0.0610 0.0210 0.0410 0.0610 0.0810 0.1010 0.1210 0.0310 0.0610 0.0910 0.1210 0.1510 0.1810 0.0410 0.0810 0.1210 0.1610 0.2010 0.2410 0.0510 0.1010 0.1510 0.2010 0.2510 0.3010 0.0610 0.1210 0.1810 0.2410 0.3010 0.3610 0.0998 0.8912 0.8632 0.0416 -0.8183 -0.9258 1 0.100 0.050 101 1001
0.1200 0.2200 0.3200 0.4200 0.5200 0.6200 0.0120 0.0220 0.0320 0.0420 0.0520 0.0620 0.0220 0.0420 0.0620 0.0820 0.1020 0.1220 0.0320 0.0620 0.0920 0.1220 0.1520 0.1820 0.0420 0.0820 0.1220 0.1620 0.2020 0.2420 0.0520 0.1020 0.1520 0.2020 0.2520 0.3020 0.0620 0.1220 0.1820 0.2420 0.3020 0.3620 0.1987 0.9320 0.8085 -0.0584 -0.8716 -0.8835 2 0.200 0.100 102 1002
0.1300 0.2300 0.3300 0.4300 0.5300 0.6300 0.0130 0.0230 0.0330 0.0430 0.0530 0.0630 0.0230 0.0430 0.0630 0.0830 0.1030 0.1230 0.0330 0.0630 0.0930 0.1230 0.1530 0.1830 0.0430 0.0830 0.1230 0.1630 0.2030 0.2430 0.0530 0.1030 0.1530 0.2030 0.2530 0.3030 0.0630 0.1230 0.1830 0.2430 0.3030 0.3630 0.2955 0.9636 0.7457 -0.1577 -0.9162 -0.8323 0 0.300 0.150 103 1003
0.1400 0.2400 0.3400 0.4400 0.5400 0.6400 0.0140 0.0240 0.0340 0.0440 0.0540 0.0640 0.0240 0.0440 0.0640 0.0840 0.1040 0.1240 0.0340 0.0640 0.0940 0.1240 0.1540 0.1840 0.0440 0.0840 0.1240 0.1640 0.2040 0.2440 0.0540 0.1040 0.1540 0.2040 0.2540 0.3040 0.0640 0.1240 0.1840 0.2440 0.3040 0.3640 0.3894 0.9854 0.6755 -0.2555 -0.9516 -0.7728 1 0.400 0.200 104 1004
0.1500 0.2500 0.3500 0.4500 0.5500 0.6500 0.0150 0.0250 0.0350 0.0450 0.0550 0.0650 0.0250 0.0450 0.0650 0.0850 0.1050 0.1250 0.0350 0.0650 0.0950 0.1250 0.1550 0.1850 0.0450 0.0850 0.1250 0.1650 0.2050 0.2450 0.0550 0.1050 0.1550 0.2050 0.2550 0.3050 0.0650 0.1250 0.1850 0.2450 0.3050 0.3650 0.4794 0.9975 0.5985 -0.3508 -0.9775 -0.7055 2 0.500 0.250 105 1005
0.1600 0.2600 0.3600 0.4600 0.5600 0.6600 0.0160 0.0260 0.0360 0.0460 0.0560 0.0660 0.0260 0.0460 0.0660 0.0860 0.1060 0.1260 0.0360 0.0660 0.0960 0.1260 0.1560 0.1860 0.0460 0.0860 0.1260 0.1660 0.2060 0.2460 0.0560 0.1060 0.1560 0.2060 0.2560 0.3060 0.0660 0.1260 0.1860 0.2460 0.3060 0.3660 0.5646 0.9996 0.5155 -0.4425 -0.9937 -0.6313 0 0.600 0.300 106 1006
0.1700 0.2700 0.3700 0.4700 0.5700 0.6700 0.0170 0.0270 0.0370 0.0470 0.0570 0.0670 0.0270 0.0470 0.0670 0.0870 0.1070 0.1270 0.0370 0.0670 0.0970 0.1270 0.1570 0.1870 0.0470 0.0870 0.1270 0.1670 0.2070 0.2470 0.0570 0.1070 0.1570 0.2070 0.2570 0.3070 0.0670 0.1270 0.1870 0.2470 0.3070 0.3670 0.6442 0.9917 0.4274 -0.5298 -0.9999 -0.5507 1 0.700 0.350 107 1007
0.1800 0.2800 0.3800 0.4800 0.5800 0.6800 0.0180 0.0280 0.0380 0.0480 0.0580 0.0680 0.0280 0.0480 0.0680 0.0880 0.1080 0.1280 0.0380 0.0680 0.0980 0.1280 0.1580 0.1880 0.0480 0.0880 0.1280 0.1680 0.2080 0.2480 0.0580 0.1080 0.1580 0.2080 0.2580 0.3080 0.0680 0.1280 0.1880 0.2480 0.3080 0.3680 0.7174 0.9738 0.3350 -0.6119 -0.9962 -0.4646 2 0.800 0.400 108 1008
0.1900 0.2900 0.3900 0.4900 0.5900 0.6900 0.0190 0.0290 0.0390 0.0490 0.0590 0.0690 0.0290 0.0490 0.0690 0.0890 0.1090 0.1290 0.0390 0.0690 0.0990 0.1290 0.1590 0.1890 0.0490 0.0890 0.1290 0.1690 0.2090 0.2490 0.0590 0.1090 0.1590 0.2090 0.2590 0.3090 0.0690 0.1290 0.1890 0.2490 0.3090 0.3690 0.7833 0.9463 0.2392 -0.6878 -0.9825 -0.3739 0 0.900 0.450 109 1009
